,pairID,SpeedIndex_plt_1,SpeedIndex_plt_2,PSI_plt_1,PSI_plt_2,PSI_ttc_majority_1,PSI_ttc_majority_2,SpeedIndex_ttc_majority_1,SpeedIndex_ttc_majority_2
0,5786da3020cfb49feadbbe6c,1979,3928,1838,3742,1838,3742,1988,3928
1,5786da3020cfb49feadbbe6d,3928,2390,3742,2446,3742,4023,3932,3546
2,5786da2f20cfb49feadbbe5a,2555,1737,2350,1580,2350,1572,2559,1741
3,5786da3320cfb49feadbbe92,6916,1706,7200,1774,6230,1926,6159,1698
4,5786da3320cfb49feadbbe8d,2493,1110,2424,1163,2425,1313,2486,1799
5,5786da3520cfb49feadbbeb3,1110,2493,1163,2424,1313,2425,1799,2486
6,5786da3620cfb49feadbbebf,2459,3077,2407,3183,2407,3183,2464,3064
7,5786da2f20cfb49feadbbe56,3899,3694,3662,3395,3536,3397,3380,3698
8,5786da2c20cfb49feadbbe3a,3306,1110,3264,1163,3047,1316,3257,1861
9,5786da3020cfb49feadbbe67,2515,3382,2661,3285,3179,3285,3254,3382
10,5786da2c20cfb49feadbbe37,2806,3230,2575,3242,2576,3243,2811,3232
11,5786da2d20cfb49feadbbe45,2519,6079,2574,7067,2574,3797,2526,4156
12,5786da3120cfb49feadbbe71,2118,4052,1979,3707,1979,3706,2113,4051
13,5786da2b20cfb49feadbbe21,3694,3899,3395,3662,3396,3536,3707,3380
14,5786da2c20cfb49feadbbe2f,3382,2459,3285,2407,3542,2409,3582,2454
15,5786da2a20cfb49feadbbe1c,1110,2607,1163,2532,1166,2502,1106,2602
16,5786da3520cfb49feadbbeb5,4052,2118,3707,1979,3707,1980,4055,2095
17,5786da3220cfb49feadbbe81,3671,3859,3776,3923,3778,3886,3680,3811
18,5786da2e20cfb49feadbbe53,5469,3827,5518,3222,5442,3310,5382,3952
19,5786da3420cfb49feadbbea6,2312,3382,2422,3285,2469,3574,2335,3600
20,5786da2d20cfb49feadbbe43,2457,1684,2444,1564,2405,1534,2427,1627
21,5786da3620cfb49feadbbebe,4181,2805,3659,2263,3658,2263,4184,2804
22,5786da2d20cfb49feadbbe3b,3547,3694,3241,3395,3218,3396,3564,3708
23,5786da3320cfb49feadbbe93,3524,3263,3523,2886,3531,2886,3534,3263
24,5786da2f20cfb49feadbbe61,2810,2806,3084,2575,3014,2575,2779,2818
25,5786da3520cfb49feadbbead,2430,3230,3683,3242,3672,3243,2439,3236
26,5786da3420cfb49feadbbea0,3690,1142,2710,1998,2711,2836,3692,2672
27,5786da2b20cfb49feadbbe28,3382,2096,3285,2031,3161,2032,3266,2098
28,5786da3420cfb49feadbbe9d,2312,2924,2422,2622,2423,2622,2314,2924
29,5786da3120cfb49feadbbe74,5469,2806,5518,2575,5360,2575,5331,2829
30,5786da3320cfb49feadbbe98,2810,5469,3084,5518,3015,5385,2791,5319
31,5786da3020cfb49feadbbe69,1568,7415,1348,5545,1513,3455,1658,5214
32,5786da3120cfb49feadbbe7d,2349,3341,2252,3614,2248,5098,2344,3438
33,5786da3320cfb49feadbbe91,3705,2312,3755,2422,3755,2468,3706,2330
34,5786da3520cfb49feadbbeb6,2052,3705,1946,3755,1947,3751,2055,3697
35,5786da3620cfb49feadbbebc,3910,3877,3239,3740,3237,3743,3921,3880
36,5786da3220cfb49feadbbe8c,3442,4120,3956,4757,3276,1645,3423,1710
37,5786da3320cfb49feadbbe8f,3690,3899,2710,2118,2856,2165,3731,4021
38,5786da2c20cfb49feadbbe36,2390,3877,2446,3740,4023,3743,3546,3878
39,5786da3220cfb49feadbbe8b,3524,3263,3523,2886,3531,2966,3538,3239
40,5786da3220cfb49feadbbe8a,4052,4149,3707,3611,3707,3612,4055,4145
41,5786da3220cfb49feadbbe84,3442,3077,3956,3183,3956,3183,3442,3077
42,5786da3320cfb49feadbbe8e,2607,3382,2532,3285,2534,3575,2602,3604
43,5786da3520cfb49feadbbeb2,2052,3705,1946,3755,1946,3754,2055,3705
44,5786da3520cfb49feadbbeab,8113,4290,3196,3989,3014,3996,5504,4302
45,5786da3120cfb49feadbbe76,1691,2479,1606,2634,1725,2636,1712,2479
46,5786da2e20cfb49feadbbe54,2526,3671,2309,3776,2200,3776,2432,3666
47,5786da3420cfb49feadbbea5,6916,2920,7200,5840,6415,3056,6411,2749
48,5786da2b20cfb49feadbbe2c,1764,2582,1634,2174,1636,2187,1785,2604
49,5786da2d20cfb49feadbbe3c,2312,3705,2422,3755,2468,3754,2334,3705
50,5786da3620cfb49feadbbeb7,3422,2515,3566,2661,3564,3204,3422,3242
51,5786da2f20cfb49feadbbe5c,4149,2457,3611,2444,3595,2405,4126,2440
52,5786da2c20cfb49feadbbe33,2624,1737,2237,1580,2237,1580,2617,1732
53,5786da3020cfb49feadbbe6b,1048,3928,1241,3742,1244,3719,1057,3881
54,5786da3620cfb49feadbbeba,2052,3928,1946,3742,1946,3719,2049,3880
55,5786da2e20cfb49feadbbe55,2390,3877,2446,3740,4023,3743,3547,3879
56,5786da2e20cfb49feadbbe4d,1048,2154,1241,2010,1244,2010,1057,2151
57,5786da3220cfb49feadbbe86,4144,1428,4877,1424,3104,1424,2083,1422
58,5786da2f20cfb49feadbbe5f,3290,3524,3065,3523,3078,3531,3314,3533
59,5786da2c20cfb49feadbbe2e,1428,4052,1424,3707,1424,3622,1422,4043
60,5786da3120cfb49feadbbe75,1299,3491,2021,3128,2019,3162,1292,3507
61,5786da3020cfb49feadbbe6a,3694,2766,3395,2786,3396,2964,3702,3173
62,5786da2c20cfb49feadbbe39,2519,7735,2574,6859,2574,6223,2529,6234
63,5786da2f20cfb49feadbbe57,4181,3041,3659,3137,3661,3137,4166,3048
64,5786da2f20cfb49feadbbe59,3827,2519,3222,2574,3309,2574,3935,2526
65,5786da3420cfb49feadbbe9b,2924,2766,2622,2786,2628,2964,2928,3169
66,5786da3220cfb49feadbbe87,2479,4833,2634,4527,2634,3861,2492,3923
67,5786da2e20cfb49feadbbe4e,3263,1299,2886,2021,2882,2020,3256,1286
68,5786da3620cfb49feadbbeb8,3306,2968,3264,1869,3264,1869,3306,2968
69,5786da2d20cfb49feadbbe48,4120,3077,4757,3183,1645,3183,1713,3063
70,5786da3520cfb49feadbbea9,2381,2582,1910,2174,1944,2187,2431,2593
71,5786da2e20cfb49feadbbe49,3690,2349,2710,2252,2714,2248,3697,2341
72,5786da3520cfb49feadbbeaf,3910,4833,3239,4527,4427,4527,4617,4833
73,5786da3520cfb49feadbbeb0,1737,2515,1580,2661,1580,3050,1734,2895
74,5786da2d20cfb49feadbbe47,2358,1691,2268,1606,2268,1723,2351,1713
75,5786da3320cfb49feadbbe96,4290,3860,3989,3852,3989,3852,4290,3855
76,5786da3320cfb49feadbbe9a,3077,2806,3183,2575,3183,2576,3064,2815
