_SpeedIndex,_TTFB,_bytesIn,_bytesInDoc,_connections,_domContentLoadedEventEnd,_domContentLoadedEventStart,_domElements,_firstPaint,_firstPaint_css_size,_firstPaint_html_size,_firstPaint_image_size,_firstPaint_js_size,_firstPaint_text_size,_lastVisualChange,_loadTime,_loadTime_css_size,_loadTime_html_size,_loadTime_image_size,_loadTime_js_size,_loadTime_text_size,_render,_render_css_size,_render_html_size,_render_image_size,_render_js_size,_render_text_size,_requests,_requestsDoc,_visualComplete,uid
9694,389,2736959,2680067,78,4089,3896,1551,1800,34113,37652,26902,451245,215054,44296,47669,34113,97296,1183164,1029069,658761,1896,34113,37652,42062,451245,215054,219,182,12100,160605_YB_2HB
4885,163,3170552,2879471,92,4320,4069,3070,3550,83827,66211,327088,797546,205475,11096,7873,89876,71338,1512331,970588,337271,3797,83827,66211,327131,800146,209132,197,123,11100,160605_F0_2R5
3713,1588,3490724,3372706,65,2825,2817,1989,2822,60525,18843,6233,167890,143057,11345,8012,60525,24813,2309252,370843,187625,2696,60525,18843,6233,167890,143057,226,183,11300,160605_4H_2R7
4954,677,16030194,16028198,67,3631,3548,2534,3472,97902,22705,676896,320705,130681,8196,27518,293511,40552,14563656,506799,356257,3396,97902,22705,676896,320705,130681,192,189,8200,160605_ZD_2JS
4567,117,3136863,2898292,49,0,0,0,0,0,0,0,0,0,9596,6758,27708,25573,2130870,680169,133051,2596,27708,25573,589356,591925,132047,113,63,9600,160605_50_2A5
7156,2189,2991433,2960665,37,7112,5789,5991,5087,101034,53941,714588,144739,264311,11496,9228,101034,58646,2402275,238947,273582,4996,101034,53941,714588,144739,264311,157,149,11500,160605_27_2EH
3172,1345,1605850,1388853,67,2676,2654,1492,2156,51855,38649,29183,1589,90504,8796,4917,51855,39552,731823,255871,121078,2196,51855,38649,29183,1589,90504,141,75,8800,160605_C7_2XK
3431,266,1318155,1019838,72,1603,1542,871,702,23084,35171,3641,71708,58255,9096,3179,23084,39178,267264,409034,82217,698,23084,35171,3641,71708,58255,167,109,9100,160605_YG_2JN
4520,308,1167395,924801,35,3017,2977,3108,3100,50258,19007,116935,120316,85323,9494,4138,50258,20661,565704,165016,105106,2996,50258,19007,111965,108824,73831,121,54,9500,160605_1Q_2X5
1816,288,2405439,2263011,83,1218,1169,868,1088,6737,14489,0,159763,91583,10585,6307,6737,19487,1484918,595810,150268,1096,6737,14489,0,159763,91583,220,191,10600,160605_HS_2NS
5139,762,2904123,2819005,133,4455,4295,944,2841,217854,24845,199269,477194,252743,11895,7454,242910,70735,1578432,716871,337246,2696,217854,24845,189732,477194,252743,252,170,11900,160605_7Z_2CN
2260,131,3241564,3089836,67,2219,2012,1243,851,43871,20378,40802,188519,64249,7696,6491,50517,36900,2230144,629203,146406,1996,43871,20378,515984,269840,64249,143,128,7700,160605_XC_2V9
4655,96,2355502,2242476,92,2086,2031,798,1494,141651,110019,29837,321916,274940,9096,7164,141651,117425,1030932,754128,503260,1496,141651,110019,29837,321916,274940,211,194,9100,160605_6G_2BB
4430,876,3694309,2283013,53,2904,2669,1378,2912,40608,22604,39094,750461,644980,8496,5158,59615,57550,1122940,826518,701933,2596,40608,22604,24585,750461,508767,202,138,8500,160605_DF_2BS
4648,317,4256514,4218990,54,2971,2794,3783,1814,38950,31162,370212,171134,241246,11296,7760,45304,31287,3277939,706259,335816,1896,38950,31162,370212,182626,252738,256,229,11300,160605_EV_2JB
3661,280,1753479,1060899,93,2325,2325,1308,2191,74076,18233,269278,79379,105097,13308,3392,74076,18598,550501,252947,248456,2296,74076,18233,269278,79379,105097,242,56,8400,160605_1W_2ZH
3739,525,4337771,4229018,84,1928,1745,2121,1603,39044,20550,23668,255139,314733,13896,8367,45400,21321,3178881,832099,409500,1596,39044,20550,18900,255139,314733,243,170,10900,160605_9X_2KS
3688,1013,1977314,1819273,38,2692,2518,1321,2439,69592,17535,35698,136588,88566,8719,5174,98798,17535,978418,601148,320992,2496,69592,17535,55879,136588,88566,182,153,8700,160605_6B_2SX
5975,382,5086733,4906268,62,1718,1585,768,1723,149299,25628,37675,277838,174927,10396,9858,149299,61879,3548733,985562,565908,1496,149299,25628,7773,277838,174927,159,141,10400,160605_H4_2AF
4704,1338,2452819,2451125,16,3542,3252,878,2782,155954,29121,0,379225,221846,7996,7011,155954,57353,1688752,464660,285175,2896,155954,29121,0,421314,256242,130,128,8000,160605_X9_2DH
2490,1005,1316420,985999,63,2098,2079,1459,1677,46874,41362,26139,1285,88236,7194,3309,46874,42265,354347,237128,118305,1697,46874,41362,36924,1285,88236,131,69,7200,160605_CS_2ES
3792,372,4060417,4044199,88,3095,2852,3477,2108,78076,174739,2856,237274,446572,9196,8713,215043,401947,2443564,768828,878414,2696,78076,174739,17197,511332,463646,218,213,9200,160605_3V_2A7
5132,692,954741,952667,10,2290,2217,379,2071,47987,9364,22461,274384,331735,12196,13349,47987,9364,451581,337288,443396,2398,47987,9364,22461,314336,347757,29,27,12200,160605_3X_2G7
4725,214,1924649,1920632,67,3364,3175,1425,1681,43585,19054,137863,347332,295360,7896,5402,44838,45713,961182,606288,430868,1696,43585,19054,137863,347332,295360,161,156,7900,160605_XQ_2ZQ
2928,284,1897012,1895521,84,3587,3524,1749,1766,29870,30004,33492,261233,128329,9096,7293,31815,41015,716325,789989,342604,2396,29870,30004,48537,276051,143147,164,163,9100,160605_58_2BF
3048,97,1583403,1366381,113,2533,2212,1930,1976,108904,43241,98268,461297,215270,8095,3625,108904,47397,596224,533935,240438,2096,108904,43241,132328,478694,215270,243,124,8100,160605_TF_2MS
3642,288,2872843,2697990,80,3596,3458,2592,562,2095,47727,23174,40523,90345,10696,6091,65936,49164,1858532,568664,338018,3296,63216,47727,803269,353711,252215,209,194,10700,160605_3Y_2Q5
5589,103,5303542,5301592,27,5861,5701,1073,1355,82744,19987,29020,290724,102731,11673,9391,82744,20136,4594719,516455,166341,1496,82744,19987,29020,290724,102731,190,188,9600,160605_WT_2SK
5992,264,3442736,2203319,115,2816,2696,1439,303,0,0,0,0,0,7896,5674,14586,889994,643022,541246,1290898,2096,13368,0,217844,140112,153037,295,148,7900,160605_6M_29K
3985,180,2364679,1598447,107,3254,3143,2471,768,70156,25209,0,171848,132232,8596,4258,88370,76697,672233,562445,400285,2896,87521,26199,451366,411263,345106,271,139,8600,160605_10_2ZX
3461,775,1755684,1366179,124,2032,2018,1002,1769,97849,22610,14343,188206,137354,8697,3768,97849,22980,960250,261167,195502,1897,97849,22980,14343,188206,137724,240,59,8700,160605_7Z_31H
3580,307,1704596,1661666,68,4132,4031,3125,1071,75782,34089,4143,209453,202635,7634,4627,104176,108169,644073,640841,523535,2596,102809,41621,412190,469135,428293,205,175,7600,160605_GT_2GH
2958,621,3790146,3034598,65,2677,2111,5711,2753,118662,43001,274267,412122,161988,7296,6011,123922,83665,1997186,599703,302369,1796,116063,43001,35007,336704,159389,224,188,7300,160605_H9_2AQ
5361,563,1539600,1025564,65,3976,3900,1571,1654,267929,23946,53,145156,385179,11096,6376,267929,23946,291073,372284,447627,1798,267929,23946,3501,145156,412001,118,52,11100,160605_BD_2XF
4851,1371,1795186,1536168,100,2645,2544,936,2125,56821,29277,13908,245571,102095,8796,4857,56821,29277,985287,321663,266224,2296,56821,29277,47419,245571,102095,186,91,8800,160605_70_2GD
5446,256,2408633,2365499,42,1379,1377,1501,480,62305,25912,18395,0,88217,11396,7324,83110,83333,1637750,522574,621492,1396,62305,25912,100958,15884,102476,145,139,11400,160605_M1_2XN
4578,474,3931452,3869333,131,3508,3219,1061,2755,157539,30773,50121,722546,361411,9296,8493,183705,93450,1748406,1333759,1077333,2696,157539,30773,50121,722546,361411,252,171,9300,160605_DR_309
3783,130,1950891,1836034,117,2210,2124,1236,1145,257129,19839,65382,154563,276968,7861,4258,257129,28884,1159674,352629,428777,1897,257129,19839,417461,154905,304578,257,166,7900,160605_16_2Q9
3912,1141,2284345,2222451,71,2150,2139,1492,1286,3169,0,0,6252,9421,9198,6273,79624,17891,1501246,373612,252683,1496,79624,13756,0,13422,100576,148,97,9000,160605_V4_2S1
3949,121,2481278,2140102,117,3410,2656,2946,1902,132375,60279,225542,434494,356286,9996,5102,174200,78397,579323,999847,962736,2096,133418,60279,275666,434494,357329,236,100,10000,160605_B3_2QN
3698,607,3021010,2892006,49,1316,1301,1131,1086,27838,20704,25010,61165,81845,8296,5887,27838,21069,2392851,196837,152770,1196,27838,20704,25010,61165,81845,124,101,8300,160605_7W_2EF
4022,180,2362982,2356132,39,3992,3561,1135,301,0,27162,0,4526,27162,7955,5226,29273,27814,1554479,592373,210026,3295,29273,27162,769990,468919,84711,165,159,8000,160605_8T_2D1
5442,241,1990365,1675812,41,1104,1028,2297,957,62113,27387,187741,90138,166352,9096,3658,62113,27741,974701,554220,427902,1096,62113,27387,187741,90138,166352,125,100,8900,160605_N1_2S7
2429,498,2718752,2716608,68,8426,8211,1009,1639,104044,28703,49441,362938,132747,9196,10174,110093,47385,1723947,598238,168235,1696,104044,28703,50740,362938,132747,139,137,9200,160605_K6_2AD
2996,242,4143072,4073741,101,1217,1193,1002,1098,61333,16379,76127,159127,236839,8296,7589,225257,22401,3324948,278869,500106,1196,61333,16379,88386,159127,236839,203,189,8300,160605_9Q_2P3
3622,1890,973423,891757,132,3031,3013,518,3176,42468,17172,0,159985,60028,13396,5458,42468,25320,329720,233103,115132,2996,42468,17172,0,159985,60028,239,139,7400,160605_KC_2E1
3178,611,2486371,2324544,112,1737,1687,2151,1622,55221,55843,40827,100348,119858,7996,5026,55221,69302,1900684,195048,225560,1296,55221,55843,33132,100348,119858,228,140,8000,160605_HA_2PK
4692,324,2019398,1822005,92,2554,2167,1414,2077,97735,21537,240642,338764,377054,8095,4410,188036,78653,696338,631346,677361,2196,97735,21537,333733,338764,377054,191,110,7900,160605_W5_2SQ
5858,257,1552058,1305600,91,2478,2253,3596,1589,72043,15834,62839,302514,354953,8896,4226,72043,20243,525916,527318,494836,1896,72043,15834,112460,312574,354953,199,132,7900,160605_YA_31V
2906,659,4911759,4839719,106,2217,2132,1703,1893,151954,26843,11277,327034,343127,12696,9657,167680,35048,3411474,805671,566672,1896,151954,26843,11277,327034,343127,237,181,9900,160605_JF_2VS
3842,1131,1219095,1017061,58,2763,2763,1413,3062,25250,22414,65968,0,47664,7396,4394,25250,23317,537949,114689,66993,3196,25250,22414,65968,12403,47664,132,73,7400,160605_0Q_30N
6911,135,3952444,3670010,136,1216,1060,1386,1224,84709,17760,70509,170904,207809,12896,8463,84709,48647,2205546,998918,692019,1096,84709,17760,70509,170904,207809,296,224,12900,160605_8N_2BK
3305,228,2541051,2122963,70,1666,1523,625,1718,18172,9407,200558,203814,182949,7096,6407,18172,9407,1475902,385744,263731,1798,18172,9407,200558,203814,182949,143,80,7100,160605_RK_287
3806,354,2562278,2433920,84,3783,3601,1094,2130,174788,43355,174584,357913,564922,7996,5409,175910,70624,1164727,713628,737335,3096,174788,43355,686658,400559,583715,235,182,8000,160605_A6_2M1
2206,744,1665389,1482018,40,2234,2148,2407,1230,46574,22528,0,17454,86556,7496,3531,50564,24020,1088418,242901,131753,1696,46574,22528,134794,134658,86556,126,110,7500,160605_01_2RQ
6723,345,4049479,3781607,60,2494,2488,2177,2306,97744,40402,163039,322665,170816,11596,7651,99626,53129,2675039,853074,287443,2496,97744,40402,163039,322751,170816,191,146,11600,160605_77_2M9
4949,357,3805106,3767601,36,2984,2965,2546,408,0,0,0,0,0,9396,7163,23924,27208,3294699,329294,104847,2696,10849,26692,100210,189073,38294,128,125,9400,160605_8P_307
2898,638,1913632,1763690,112,1653,1603,1788,1546,63100,51338,4237,100696,123580,7896,4243,63100,62767,1327508,209398,226351,1396,63100,51338,4237,100348,123232,219,135,7900,160605_4N_2QX
5893,410,6457102,6454727,64,2652,2437,1565,2157,67778,29298,63675,455549,106813,14625,11585,164105,65534,4239251,1231056,371605,2196,67778,29298,63675,455549,106813,166,163,10600,160605_CF_2YB
