pairID,uid_left,uid_right
5786da3020cfb49feadbbe6c,160605_JY_2PB,160605_X9_2DH
5786da3020cfb49feadbbe6d,160605_X9_2DH,160605_1W_2ZH
5786da2f20cfb49feadbbe5a,160605_TF_2MS,160605_HA_2PK
5786da3320cfb49feadbbe92,160605_QJ_2BZ,160605_6Q_311
5786da3320cfb49feadbbe8d,160605_PA_321,160605_N1_2S7
5786da3520cfb49feadbbeb3,160605_N1_2S7,160605_PA_321
5786da3620cfb49feadbbebf,160605_QF_2K3,160605_8P_307
5786da2f20cfb49feadbbe56,160605_FK_2DD,160605_0Q_30N
5786da2c20cfb49feadbbe3a,160605_V4_2S1,160605_N1_2S7
5786da3020cfb49feadbbe67,160605_VE_2Z1,160605_6B_2SX
5786da2c20cfb49feadbbe37,160605_98_2ZN,160605_1Q_2X5
5786da2d20cfb49feadbbe45,160605_AP_2PS,160605_VY_29H
5786da3120cfb49feadbbe71,160605_C4_2YV,160605_7Z_2CN
5786da2b20cfb49feadbbe21,160605_0Q_30N,160605_FK_2DD
5786da2c20cfb49feadbbe2f,160605_6B_2SX,160605_QF_2K3
5786da2a20cfb49feadbbe1c,160605_N1_2S7,160605_70_2GD
5786da3520cfb49feadbbeb5,160605_7Z_2CN,160605_C4_2YV
5786da3220cfb49feadbbe81,160605_G8_2K7,160605_4H_2R7
5786da2e20cfb49feadbbe53,160605_WT_2SK,160605_GJ_30X
5786da3420cfb49feadbbea6,160605_1H_2X9,160605_6B_2SX
5786da2d20cfb49feadbbe43,160605_EV_2JB,160605_M1_2XN
5786da3620cfb49feadbbebe,160605_FJ_31D,160605_ND_29X
5786da2d20cfb49feadbbe3b,160605_C9_2HN,160605_0Q_30N
5786da3320cfb49feadbbe93,160605_DF_2BS,160605_H0_2QZ
5786da2f20cfb49feadbbe61,160605_JF_2VS,160605_98_2ZN
5786da3520cfb49feadbbead,160605_58_2BF,160605_1Q_2X5
5786da3420cfb49feadbbea0,160605_B7_2W3,160605_WV_2KH
5786da2b20cfb49feadbbe28,160605_6B_2SX,160605_7Z_31H
5786da3420cfb49feadbbe9d,160605_1H_2X9,160605_16_2Q9
5786da3120cfb49feadbbe74,160605_WT_2SK,160605_98_2ZN
5786da3320cfb49feadbbe98,160605_JF_2VS,160605_WT_2SK
5786da3020cfb49feadbbe69,160605_FH_2Y3,160605_9M_2NB
5786da3120cfb49feadbbe7d,160605_RK_287,160605_KC_2E1
5786da3320cfb49feadbbe91,160605_A6_2M1,160605_1H_2X9
5786da3520cfb49feadbbeb6,160605_XQ_2ZQ,160605_A6_2M1
5786da3620cfb49feadbbebc,160605_W5_2SQ,160605_8T_2D1
5786da3220cfb49feadbbe8c,160605_AK_31B,160605_6G_2BB
5786da3320cfb49feadbbe8f,160605_B7_2W3,160605_HX_2DQ
5786da2c20cfb49feadbbe36,160605_1W_2ZH,160605_8T_2D1
5786da3220cfb49feadbbe8b,160605_DF_2BS,160605_H0_2QZ
5786da3220cfb49feadbbe8a,160605_7Z_2CN,160605_77_2M9
5786da3220cfb49feadbbe84,160605_AK_31B,160605_8P_307
5786da3320cfb49feadbbe8e,160605_70_2GD,160605_6B_2SX
5786da3520cfb49feadbbeb2,160605_XQ_2ZQ,160605_A6_2M1
5786da3520cfb49feadbbeab,160605_CF_2YB,160605_BD_2XF
5786da3120cfb49feadbbe76,160605_1R_2C3,160605_YA_31V
5786da2e20cfb49feadbbe54,160605_9X_2KS,160605_G8_2K7
5786da3420cfb49feadbbea5,160605_QJ_2BZ,160605_8N_2BK
5786da2b20cfb49feadbbe2c,160605_TR_2WD,160605_WA_2JV
5786da2d20cfb49feadbbe3c,160605_1H_2X9,160605_A6_2M1
5786da3620cfb49feadbbeb7,160605_AV_2N7,160605_VE_2Z1
5786da2f20cfb49feadbbe5c,160605_77_2M9,160605_EV_2JB
5786da2c20cfb49feadbbe33,160605_W8_2J3,160605_HA_2PK
5786da3020cfb49feadbbe6b,160605_71_2SN,160605_X9_2DH
5786da3620cfb49feadbbeba,160605_XQ_2ZQ,160605_X9_2DH
5786da2e20cfb49feadbbe55,160605_1W_2ZH,160605_8T_2D1
5786da2e20cfb49feadbbe4d,160605_71_2SN,160605_WH_2V7
5786da3220cfb49feadbbe86,160605_YB_2HB,160605_1J_2F7
5786da2f20cfb49feadbbe5f,160605_10_2ZX,160605_DF_2BS
5786da2c20cfb49feadbbe2e,160605_1J_2F7,160605_7Z_2CN
5786da3120cfb49feadbbe75,160605_7W_2EF,160605_HB_2VQ
5786da3020cfb49feadbbe6a,160605_0Q_30N,160605_GT_2GH
5786da2c20cfb49feadbbe39,160605_AP_2PS,160605_53_2RZ
5786da2f20cfb49feadbbe57,160605_FJ_31D,160605_50_2A5
5786da2f20cfb49feadbbe59,160605_GJ_30X,160605_AP_2PS
5786da3420cfb49feadbbe9b,160605_16_2Q9,160605_GT_2GH
5786da3220cfb49feadbbe87,160605_YA_31V,160605_ZD_2JS
5786da2e20cfb49feadbbe4e,160605_H0_2QZ,160605_7W_2EF
5786da3620cfb49feadbbeb8,160605_V4_2S1,160605_E7_2QD
5786da2d20cfb49feadbbe48,160605_6G_2BB,160605_8P_307
5786da3520cfb49feadbbea9,160605_CS_2ES,160605_WA_2JV
5786da2e20cfb49feadbbe49,160605_B7_2W3,160605_RK_287
5786da3520cfb49feadbbeaf,160605_W5_2SQ,160605_ZD_2JS
5786da3520cfb49feadbbeb0,160605_HA_2PK,160605_VE_2Z1
5786da2d20cfb49feadbbe47,160605_6M_29K,160605_1R_2C3
5786da3320cfb49feadbbe96,160605_BD_2XF,160605_CS_2P7
5786da3320cfb49feadbbe9a,160605_8P_307,160605_98_2ZN
5786da2f20cfb49feadbbe58,160605_EV_2JB,160605_BD_2XF
