sessionID,h_score
58aPyrqJm6zGYK6eJ,100.0
ZGC4v8gSTaT57XHsa,100.0
hEMGrv7bePnRy89QW,100.0
7n2oi7qNyLr2mLjxD,100.0
tZjwKykvMGZbGANQx,100.0
2voWq3Z8fWPbeiJi5,100.0
2pDY9YwMSDuPukvSv,100.0
MawzmRXhuf3fG6vwg,80.0
ijX58fD5rDmtJxAup,100.0
u9fCpyJrbmrrFRNBp,80.0
3uxkBcq64eRbGJ8WW,100.0
gQCvfZp5nGtt72TYE,100.0
yu97xNvpQAoJb65Pr,100.0
MyfdyLhDkhNbn4eeR,80.0
jhBYnH24PPAwy9jmd,100.0
bDv7y5agkCineSHmn,100.0
Qt9jM8EAimFHmy624,80.0
RKCRyzHM3G2usJ6FK,100.0
owqhFRXB9gpWpoySN,100.0
wCkiHjeugTpMzW723,100.0
StW6Bcukajnrg8fLE,100.0
eHvFQN6X8pehs9iQJ,100.0
55RMoBxZRMfMccvjv,80.0
BRngxgoBkrGxguTwo,100.0
y7kmyD2QMwZpapqZL,100.0
LJafgYsz36tekr836,80.0
27pPXmEC8iwGGyYeZ,100.0
HbjAYojL3kJ2JSo4p,80.0
wXpmgFtgdBxDLZ9KZ,100.0
KPQwT2dDoBhpnGpHu,100.0
WWkHmYRoGKXKGb9wt,80.0
McTbZrqpkkvHJNo78,100.0
4C9PorrC8BNzzDc4c,100.0
tLAFDYSMLBqNtgxAP,100.0
biZo4W5de6rQeh93S,100.0
a3QyaDhfYfudyXAPB,100.0
9AE3BfmgDwJNnouHQ,80.0
c9m6c8Hgb54mqqXHs,100.0
ezKSLzR6ZeenntAK6,100.0
M8SZreYmfQuDjt3tk,100.0
h867jNgt2AMbaJqme,100.0
sRsg87DvdrSwRCim8,100.0
oTyFi8skx4XzfSy9K,80.0
fXWp97qRCWxogt6ed,100.0
CsTAtaitoMXcJaoSW,100.0
HFvMF6oMKqSNZqT3i,100.0
mYHsENkbTw5XoPRzC,100.0
w6C2DD38fMF9xHGo2,80.0
NG9LzPq3R6d6unCtu,100.0
65pq7F46hqJbMpkWE,80.0
CmfaBNce763n8m52f,100.0
z7eRLHT4XNcH7tAdg,100.0
AhAt3SpEmtqEB42e6,100.0
zfTA5kvAxmJzBELYs,100.0
nxq9Bzcy5eKMDAGLM,80.0
NWWPz6yCBNd3YQE5H,100.0
4KfZesDFXu8AmFkkr,80.0
Ctvv92YqaYYDeGJ6H,100.0
T7HMehSfc34MEdcYs,80.0
zqkh87LShLNbDGaw5,100.0
hWse5M5xRhbWD9up6,100.0
DnHw4ruNM953QEHJ7,100.0
JZkbQaHaJm4JgGmEa,100.0
WCep2T5rtSj8oj6fP,80.0
